#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abidjan;Abidjan;Abidjan;Abidjan;;Abidjan;;;;;;;;;x
b_abidjan_adj;Abidjanian;;abidjaner;;;;;;;;;;;x
b_abidjan_2;Abidjan;Abidjan;Abidjan;;Abidjan;;;;;;;;;x
b_abidjan_2_adj;Abidjanian;;abidjaner;;;;;;;;;;;x
b_abidjan_3;Abidjan;Abidjan;Abidjan;;Abidjan;;;;;;;;;x
b_abidjan_3_adj;Abidjanian;;abidjaner;;;;;;;;;;;x
b_abraham;Abraham;Abraham;Abraham;;Abraham;;;;;;;;;x
b_abraham_adj;Abrahamian;;abrahamer;;;;;;;;;;;x
b_accra;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_2;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_2_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_3;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_3_adj;Accran;;accrer;;;;;;;;;;;x
b_agneby_tiassa;Agnéby-Tiassa;Agnéby-Tiassa;Agnéby-Tiassa;;Agnéby-Tiassa;;;;;;;;;x
b_agneby_tiassa_adj;Agnéby-Tiassan;;agnéby-tiasser;;;;;;;;;;;x
b_agneby_tiassa_2;Agnéby-Tiassa;Agnéby-Tiassa;Agnéby-Tiassa;;Agnéby-Tiassa;;;;;;;;;x
b_agneby_tiassa_2_adj;Agnéby-Tiassan;;agnéby-tiasser;;;;;;;;;;;x
b_agneby_tiassa_3;Agnéby-Tiassa;Agnéby-Tiassa;Agnéby-Tiassa;;Agnéby-Tiassa;;;;;;;;;x
b_agneby_tiassa_3_adj;Agnéby-Tiassan;;agnéby-tiasser;;;;;;;;;;;x
b_ansongo;Ansongo;Ansongo;Ansongo;;Ansongo;;;;;;;;;x
b_ansongo_adj;Ansongian;;ansonger;;;;;;;;;;;x
b_ansongo_2;Ansongo;Ansongo;Ansongo;;Ansongo;;;;;;;;;x
b_ansongo_2_adj;Ansongian;;ansonger;;;;;;;;;;;x
b_ansongo_3;Ansongo;Ansongo;Ansongo;;Ansongo;;;;;;;;;x
